token,count
hai,47
shanti,24
om,23
ki,23
se,20
aap,14
ho,13
ye,12
mai,12
ka,11
bhi,11
hu,11
ko,10
natural,9
kar,8
aur,8
ya,8
food,8
rahe,7
morning,7
fresh,7
kya,7
kiya,7
ke,7
cooked,7
nhi,6
health,6
ek,6
nature,6
fir,5
graded,5
feeling,5
only,5
do,5
kuch,5
enima,5
maine,5
follow,5
viewers,5
time,5
mujhe,5
karna,5
enema,5
shakti,4
sudh,4
rahi,4
diya,4
hoga,4
kam,4
katna,4
meethe,4
should,4
body,4
energy,4
galat,4
nds,4
hoon,4
nahi,4
issues,4
far,4
god,4
khane,4
koi,4
baar,4
leti,4
insaan,3
hava,3
mile,3
jungle,3
pahad,3
prakriti,3
kaise,3
ne,3
hme,3
jansankhya,3
bad,3
pyare,3
maa,3
very,3
products,3
coconut,3
mera,3
am,3
vegetables,3
low,3
lekin,3
sharir,3
bina,3
hota,3
sahi,3
aapko,3
kr,3
chauhan,3
din,3
nahin,3
aapki,3
isliye,3
baat,3
aapke,3
karta,3
pahle,3
since,3
now,3
take,3
pm,3
dosto,3
karke,3
sakte,3
apna,3
ab,3
bahut,3
hain,3
juice,3
le,3
hair,3
bataye,3
bless,3
guru,3
weight,3
loss,3
aj,2
itna,2
gaya,2
kaha,2
sarkar,2
naas,2
sab,2
sabse,2
bohot,2
chuka,2
khana,2
chahiye,2
sakta,2
new,2
mere,2
baba,2
work,2
sweet,2
potato,2
salad,2
aa,2
fruits,2
hum,2
khate,2
pura,2
clean,2
mal,2
kab,2
adat,2
jati,2
use,2
kare,2
kitne,2
bar,2
tha,2
sal,2
pahele,2
muze,2
feel,2
all,2
diet,2
sare,2
routine,2
anubhav,2
jeevan,2
tarah,2
prabhu,2
aacharan,2
hone,2
lagbhag,2
har,2
main,2
raha,2
apney,2
sprouts,2
go,2
bed,2
any,2
really,2
medicines,2
priority,2
omm,2
senior,2
management,2
think,2
over,2
rearrange,2
priorities,2
some,2
vedieos,2
repetion,2
mind,2
also,2
own,2
man,2
apki,2
shivir,2
jo,2
jayega,2
sabhi,2
hun,2
karya,2
much,2
dhanyvad,2
karti,2
ham,2
aamla,2
abhi,2
anema,2
woh,2
daily,2
par,2
glass,2
mix,2
jab,2
videos,2
start,2
uske,2
baad,2
slow,2
roti,2
sham,2
pain,2
weak,2
guide,2
shiv,2
anima,2
mein,2
bare,2
janwar,2
janvar,1
gi,1
kat,1
karva,1
jalvayu,1
predushit,1
sudharna,1
karni,1
hogi,1
badi,1
samasya,1
hmne,1
rakha,1
ajanvar,1
ban,1
claimedchange,1
vajah,1
jal,1
vayu,1
sa,1
dushit,1
gyi,1
iska,1
karan,1
bredhi,1
sajish,1
duniya,1
jaher,1
bhar,1
pani,1
batao,1
jagna,1
bodh,1
atmagyan,1
thik,1
varna,1
jago,1
bharat,1
happy,1
year,1
helpful,1
content,1
planet,1
ayurveda,1
offers,1
support,1
ayurvedic,1
perspective,1
grade,1
fine,1
eatable,1
pomegranate,1
seed,1
reddish,1
beetroot,1
longer,1
flack,1
grading,1
machine,1
surf,1
mauritius,1
cucumber,1
site,1
wait,1
more,1
energetic,1
curbs,1
fibre,1
protein,1
fats,1
water,1
everyone,1
same,1
somebody,1
gets,1
then,1
hp,1
na,1
thodina,1
banega,1
tak,1
krey,1
pet,1
saf,1
pucha,1
comment,1
javab,1
dete,1
seminar,1
tb,1
baigair,1
cure,1
deasese,1
following,1
batye,1
bade,1
jee,1
aksharshah,1
yahi,1
sabkuchh,1
varsh,1
aayu,1
anek,1
prakar,1
viruddh,1
jeene,1
kaaran,1
nirash,1
gayaa,1
samapt,1
jaye,1
maloom,1
kripa,1
praapt,1
huyi,1
gyaan,1
mila,1
swasth,1
lagaa,1
chalaa,1
aaj,1
kintu,1
neerogya,1
kyonki,1
keval,1
karpaa,1
rahaa,1
atah,1
kahe,1
pramaanit,1
saath,1
adhikaadhik,1
log,1
laabh,1
uthaven,1
aisi,1
kaamna,1
khali,1
fruit,1
kha,1
loos,1
aapka,1
filter,1
grinder,1
system,1
yani,1
denture,1
dannt,1
darh,1
yo,1
kharab,1
theh,1
aapne,1
mouth,1
allopathy,1
dentist,1
lagbhai,1
followers,1
suggestion,1
detay,1
had,1
started,1
taking,1
college,1
life,1
plus,1
uncooked,1
evening,1
one,1
meal,1
leave,1
hvnt,1
faced,1
heaven,1
earth,1
people,1
neglect,1
better,1
eat,1
craze,1
junk,1
must,1
like,1
way,1
eating,1
thanku,1
pranam,1
dr,1
pranjali,1
become,1
homeopathic,1
andhave,1
established,1
pharmacy,1
offering,1
quality,1
services,1
upgradation,1
responsibilities,1
increased,1
contrants,1
thatyou,1
suggested,1
editing,1
make,1
sum,1
substantive,1
old,1
packed,1
excessive,1
superflous,1
word,1
repetative,1
usenot,1
distracts,1
topic,1
makes,1
unnecessary,1
lengthy,1
irritating,1
boring,1
introspection,1
benefit,1
mental,1
universal,1
truththat,1
excessof,1
thing,1
fed,1
hearing,1
kee,1
saharanpur,1
sanstha,1
lagwana,1
chahe,1
intajam,1
karne,1
padenge,1
brahama,1
kumari,1
aashram,1
valo,1
contact,1
kara,1
mujh,1
sahyog,1
kyoki,1
bv,1
tarha,1
pathy,1
li,1
apke,1
lectur,1
sun,1
fallow,1
achha,1
iss,1
nek,1
deta,1
aum,1
excellent,1
transformation,1
making,1
badhiya,1
mother,1
healer,1
too,1
grandmother,1
ise,1
years,1
took,1
amazing,1
relief,1
given,1
bht,1
bdiya,1
result,1
aaya,1
swal,1
recover,1
gya,1
bachha,1
loved,1
humble,1
citizen,1
delhi,1
biwi,1
brahmand,1
bapu,1
naman,1
dhundho,1
sahit,1
sansar,1
liye,1
chuna,1
bheja,1
yah,1
paropkar,1
speaker,1
speak,1
point,1
save,1
peene,1
healthy,1
rah,1
factory,1
dairy,1
hamari,1
jeevani,1
basis,1
pe,1
digestion,1
elimination,1
healing,1
repairing,1
immunity,1
boosting,1
fighting,1
against,1
pathigens,1
langhan,1
kamonse,1
chhutakara,1
denge,1
teesara,1
thhek,1
rogmukta,1
achhi,1
company,1
milta,1
bataiye,1
don,1
itne,1
fiyr,1
foundation,1
lagaane,1
garvati,1
pata,1
chala,1
thi,1
bases,1
vegetable,1
amla,1
hrs,1
approx,1
intermittent,1
fasting,1
pichle,1
saal,1
dekhna,1
tab,1
noon,1
night,1
flame,1
sabji,1
out,1
oil,1
masala,1
wit,1
rock,1
salt,1
green,1
chilli,1
burada,1
bajre,1
summers,1
sattu,1
baje,1
question,1
sakti,1
jaisa,1
vaisa,1
necessary,1
age,1
knee,1
jont,1
back,1
constipation,1
bp,1
white,1
discharge,1
irregular,1
periods,1
growt,1
chin,1
eyesight,1
fall,1
jaisi,1
kai,1
theek,1
completely,1
band,1
padega,1
seriously,1
karungi,1
exllent,1
tell,1
substitute,1
can,1
pot,1
dho,1
rakhna,1
dhona,1
dusra,1
person,1
isko,1
krna,1
lena,1
subscriber,1
mei,1
kg,1
jaldi,1
toe,1
swelling,1
irritation,1
namste,1
judi,1
eski,1
gayi,1
eske,1
krati,1
dino,1
padta,1
pls,1
kre,1
medicine,1
desicse,1
guranteed,1
results,1
kgs,1
two,1
months,1
varicose,1
veins,1
problem,1
skin,1
nails,1
tinning,1
baato,1
sehmat,1
sirf,1
lagti,1
wo,1
kehte,1
hua,1
khao,1
saare,1
diye,1
huye,1
hame,1
dwar,1
lagata,1
kyo,1
lagaye,1
agar,1
aahar,1
acha,1
apne,1
aate,1
saaf,1
rahegi,1
zarurat,1
nai,1
pranaam,1
sunte,1
urja,1
aacha,1
lot,1
super,1
valuable,1
information,1
always,1
happiness,1
peace,1
upar,1
kitab,1
banaa,1
hamen,1
jankari,1
den,1
taki,1
jivan,1
sake,1
