token,count
hai,220
kya,183
se,99
ho,93
ki,79
ke,72
aur,65
bhi,64
ka,59
kaise,47
ko,46
nhi,42
aap,40
mein,39
nds,37
hain,36
kar,36
nahi,35
koi,31
kam,30
hu,28
sakta,27
ye,26
diet,24
nahin,23
bahut,23
how,23
mujhe,23
kuch,22
ek,21
sakte,21
liye,21
hota,20
thik,20
saal,18
na,18
jo,17
sugar,17
juice,17
tha,16
sab,16
bimari,16
chahiye,15
par,15
guru,15
rahe,14
khana,14
can,14
karna,14
khane,13
pranam,13
log,13
time,12
pr,12
karke,12
ya,12
sirf,12
bina,12
weight,12
jayega,12
hua,11
uska,11
follow,11
hoga,11
pani,11
kare,11
jata,11
le,11
mai,11
body,11
mera,11
sahi,11
problem,10
baat,10
main,10
use,9
kr,9
rha,9
khate,9
fir,9
enima,9
milk,9
aa,9
maine,9
cure,9
yah,9
agar,9
life,9
lena,9
food,9
lekin,8
anima,8
gas,8
dudh,8
din,8
ne,8
kha,8
kre,8
aapke,8
now,8
meri,8
tak,8
guide,8
type,7
pe,7
abhi,7
system,7
krna,7
karen,7
diabetes,7
hone,7
doctor,7
ab,7
itna,7
rahi,7
diya,7
apne,7
theek,7
month,7
aapko,7
aapka,7
digestion,7
baar,7
raha,7
plz,7
hun,7
bar,7
medicine,7
protein,7
wo,7
hum,7
bataye,7
gya,6
us,6
gaye,6
kripya,6
banate,6
gaya,6
badi,6
do,6
enema,6
hote,6
wale,6
pet,6
am,6
old,6
baad,6
disease,6
green,6
hair,6
pura,6
bataiye,6
reply,6
lene,6
karne,6
patient,6
umar,6
subah,6
only,6
water,6
kiya,6
all,6
ham,6
ands,5
bade,5
per,5
yeh,5
aaj,5
jungle,5
hme,5
hogi,5
bohot,5
iska,5
kab,5
khaye,5
vajan,5
kabhi,5
de,5
chauhan,5
weak,5
hona,5
vitamin,5
bare,5
pls,5
jyada,5
aapne,5
karta,5
contact,5
karti,5
one,5
piles,5
loss,5
raat,5
fruits,5
phir,5
galat,5
fasting,5
hoon,5
mere,5
thi,5
liver,5
har,5
safai,5
reverse,4
aage,4
dhanyawad,4
kitne,4
pite,4
dahi,4
dete,4
jaise,4
dur,4
pass,4
kuchh,4
sudh,4
kaha,4
bad,4
vajah,4
katna,4
batao,4
kriya,4
yrs,4
kharab,4
isse,4
ibs,4
gain,4
chaiye,4
healthy,4
eat,4
cancer,4
fall,4
bhut,4
ilaaj,4
krne,4
ilaj,4
depression,4
banaye,4
namaskar,4
kyu,4
nehi,4
woh,4
bat,4
bhojan,4
pina,4
chahie,4
kamjor,4
kru,4
jati,4
khao,4
apni,4
kg,4
uske,4
fibre,4
low,4
rhe,4
bachche,4
di,4
age,4
vo,4
shuru,4
bahot,4
get,4
following,4
upwas,4
raw,4
sar,4
many,4
toh,4
batai,4
thyroid,3
tk,3
result,3
smjh,3
krte,3
darsan,3
aisa,3
bani,3
lete,3
hume,3
pure,3
lagta,3
chaye,3
pita,3
karte,3
hamare,3
ushe,3
jise,3
aajkal,3
tomato,3
salad,3
puri,3
jate,3
aj,3
insaan,3
hava,3
mile,3
pahad,3
jansankhya,3
karni,3
chuka,3
gyi,3
duniya,3
bharat,3
piye,3
bataya,3
aapki,3
bhukh,3
ata,3
skte,3
upay,3
jaane,3
kafi,3
fal,3
mind,3
oil,3
isme,3
bol,3
recipe,3
make,3
th,3
pahle,3
hue,3
kami,3
proper,3
judna,3
chahti,3
hoti,3
bna,3
chahe,3
start,3
bilkul,3
agr,3
sal,3
pi,3
bus,3
insulin,3
steroid,3
apna,3
padta,3
dry,3
muje,3
krke,3
want,3
year,3
etc,3
without,3
ap,3
milegi,3
fresh,3
same,3
kyun,3
insan,3
aise,3
mil,3
namaste,3
es,3
khali,3
jaaye,3
fermented,3
youtube,3
tik,3
karenge,3
bp,3
logo,3
accident,3
gayi,3
jaldi,3
behosh,3
jaata,3
paralysis,3
dhanyavaad,3
sharir,3
phal,3
english,3
leni,3
any,3
take,3
daal,3
answer,3
banna,3
mar,3
natural,3
lambi,3
sari,3
mix,3
jab,3
yog,3
daru,3
information,3
karein,3
liya,3
happy,3
treatment,3
also,3
karu,3
choti,3
deta,3
hamari,3
tell,3
pehle,3
strong,3
brain,3
