Video_Title,Comment_Text,Comment_Date,Like_Count,Language_Label,Username_Anon,Nature_Aligned_Manual,Nature_Aligned_Auto
क्या आप जानते हैं शरीर को अंदर से शुद्ध करने के ये 3 फ्री तरीके? देखिए अभी! घर बैठे Detox करें !,निरोग होने की कीमत कोई बीमार ही जानता है । चौहान साहब को बहुत बहुत प्रणाम,2024-11-23 13:24:37+00:00,41,Hindi,,-1,-1
क्या आप जानते हैं शरीर को अंदर से शुद्ध करने के ये 3 फ्री तरीके? देखिए अभी! घर बैठे Detox करें !,गुरु जी आप के बताए मार्ग पर चल कर हम स्वस्थ और निरोग जीवन जी रहे हैं बिना दवाई के पर अब मैं जो ग्रीन जूस में आमला डालती हूं तो मेरी legs में दर्द होता है शायद खट्टा की वजह से मेरा मार्ग दर्शन करे प्रणाम,2024-11-23 09:49:09+00:00,28,Hindi,,-1,-1
"कब्ज के लक्षण, कारण और उपचार | पूरी जानकारी हिंदी में",गुरुजी प्रणाम आप हर टॉपिक पे ऐसे ही छोटे छोटे वीडियो बनाया करे लोगो के पास लंबी वीडियो देखने का समय या धैर्य नहीं है ।,2025-01-04 09:05:01+00:00,24,Hindi,,-1,-1
"मिलेट(Millet), दूध(Milk), और कार्ब्स(Carbs) इंसान के लिए नहीं हैं! जानिए क्यों ?",jab tak youtube nahi tha me bahut khush tha muje kuch bhi tension nahi thi har apni apni kahani sunaker in logo ne sabka dimag karke rakha hai,2025-08-05 11:33:51+00:00,23,English,,-1,-1
"मिलेट(Millet), दूध(Milk), और कार्ब्स(Carbs) इंसान के लिए नहीं हैं! जानिए क्यों ?",कुछ न खाओ केवल वायु ग्रहण करो और हरि भजन करो,2025-08-05 03:53:01+00:00,19,Hindi,,-1,-1
कौन सा सीक्रेट फूड खाकर मैंने ठीक की सारी बीमारियाँ? |  BV Chauhan की Real Life Diet,chauhan saheb you are miracle of our country parmatma aapko dirgh aayu dey,2025-05-09 13:08:00+00:00,18,English,,-1,-1
क्या आप बिना दवाओं के स्वस्थ रह सकते हैं? | B.V. Chauhan साहब से जानें प्राकृतिक तरीके,गुरुजी आपने जो सपना दिखाया है इस दुनिया को निरंतर स्वस्थ रहने का वह जरूर साकार होकर रहेगा जय एडवांस्ड न्यू डायट सिस्टम,2024-11-12 13:12:14+00:00,17,Hindi,,-1,-1
Reverse Diabetes Naturally! | B.V. Chauhan Sir Reveals the secret for staying healthy!,gurujii kii age 86 sal heee itnii umer hone ke bavv jud bhii b v shab kaa baat krne ka tarika shining face so amazing im blindly follow guruji always thankyou so much guruji,2024-11-07 18:54:23+00:00,16,English,,-1,-1
क्या आप जानते हैं शरीर को अंदर से शुद्ध करने के ये 3 फ्री तरीके? देखिए अभी! घर बैठे Detox करें !,गुरुजी आप ऐसे ही छोटे छोटे टॉपिक पर वीडियो बनाकर डाले ताकि लोगो को जल्दी ही अपनी बीमारी पर क्या करना है समझ आ सके । क्योंकि लोगो के पास प्रवचन सुनने के लिए समय ही नहीं है ।,2024-11-24 11:05:46+00:00,16,Hindi,,-1,-1
कौन सा सीक्रेट फूड खाकर मैंने ठीक की सारी बीमारियाँ? |  BV Chauhan की Real Life Diet,sir mein 1992 se type one diabetes ka patient hu aur mujhe 217se igg4 auto immune ki bimari ka pta chla mein insulin aur steroid par depend hu pls help me ki mujhe kaisa diet plan lena hai mein steroid se najane aur kitni bimari se presan hu specially pett ki,2025-05-09 13:22:09+00:00,15,English,,-1,-1
"Intermittent Fasting: खाना छोड़ने की नहीं, सही समय पर सही खाने की कला !",चौहान साहब आप मन बादी है जब भगवान शरीर की सफाई कर सकते है तो वह नाली की भी सफाई कर सुन कर सकते है अपने भगवान को नाली की सफाई पर लगा दो तो सब बीमारी साफ हो जायेगी धन्यवाद,2024-12-03 05:33:16+00:00,14,Hindi,,-1,-1
Modern Lifestyle = Slow Death? जानिए कैसे बचें! आज के युवा बीमार क्यों हो रहे हैं?,गुरु जी आप कितनी करुणा से सब बताते हैं पर बहुत पुण्यशाली ही इस रास्ते पर चल रहे हैं सब जीभ के स्वाद के पीछे पागल है जो कि कुछ सेकेंड्स का है और पेट में भी कितना टिकता है एक दिन अगले दिन तो निकल जाएगा गुरु जी के बताए रास्ते पर चलिए और स्वस्थ रहिए और आनंद में रहिए,2025-02-11 13:54:06+00:00,13,Hindi,,-1,-1
"Intermittent Fasting: खाना छोड़ने की नहीं, सही समय पर सही खाने की कला !",करोडो लोगो का जीवन एन डी एस से संपूर्ण रूप से बदल गया है गुरुजी का लाख धन्यवाद,2024-12-02 14:26:40+00:00,12,Hindi,,-1,-1
Reverse Diabetes Naturally! | B.V. Chauhan Sir Reveals the secret for staying healthy!,अगर आप की बात सब मानने लगे तो एलोपैथी का बाजा बज जाएगा और राजीव दीक्षित जी का सपना साकार हो सकेगा,2024-11-20 14:19:12+00:00,12,Hindi,,-1,-1
क्या आप जानते हैं शरीर को अंदर से शुद्ध करने के ये 3 फ्री तरीके? देखिए अभी! घर बैठे Detox करें !,god bless all,2024-11-23 09:28:45+00:00,12,English,,-1,-1
क्या आप जानते हैं शरीर को अंदर से शुद्ध करने के ये 3 फ्री तरीके? देखिए अभी! घर बैठे Detox करें !,आप बहुत अच्छा कर रहे हैं आपसे हमको लाभ हुआ है आपको बहुत बहुत धन्यवाद,2024-11-24 06:20:35+00:00,11,Hindi,,-1,-1
क्या आप बिना दवाओं के स्वस्थ रह सकते हैं? | B.V. Chauhan साहब से जानें प्राकृतिक तरीके,गुरुजी प्रणाम आपकी वीडियो में देखता रहता हु 2020 से इस सिस्टम को लगातार जीवन में उतार रहा हु मै पूरी तरह स्वस्थ हु । आपका जीवन दीर्घायु हो ।,2024-11-13 07:08:12+00:00,11,Hindi,,-1,-1
क्या आप बिना दवाओं के स्वस्थ रह सकते हैं? | B.V. Chauhan साहब से जानें प्राकृतिक तरीके,काफी अच्छा है लगता है मानव के भोजन मे फिर से कंद मूल शामिल करवाओगे,2024-11-13 06:10:13+00:00,10,Hindi,,-1,-1
