token,count
reiki,1384
hai,813
bk,664
all,599
learn,594
healing,581
dr,568
energy,548
sharma,519
se,378
ki,376
science,376
level,364
ke,326
gift,324
ka,306
life,301
ko,278
bhi,259
can,254
about,248
here,246
force,235
savita,234
boost,234
will,232
legends,232
natural,230
click,230
aur,224
th,216
st,203
soul,194
love,194
ho,191
join,190
group,185
dear,175
workshop,174
food,173
support,171
online,167
aap,166
help,166
kya,161
where,157
knowledge,156
aura,155
nahi,154
self,153
very,148
am,146
others,144
nature,143
kar,142
hain,141
chakra,139
mai,138
living,137
subscriber,137
viewer,137
eye,133
most,132
diseases,131
disease,131
power,130
song,128
opening,128
loving,127
art,126
attend,126
fight,126
ek,125
immunity,125
attunnement,125
negative,124
ye,121
system,120
powerful,117
field,115
nhi,114
more,113
shanti,109
preventing,108
body,108
immune,107
viruses,107
forces,107
trained,106
one,105
millions,104
vital,104
diet,103
worldwide,103
jo,102
feeling,101
light,99
related,99
how,97
koi,93
liye,93
like,91
do,90
course,90
only,87
bahut,86
god,86
par,85
us,84
shakti,83
also,83
mein,82
hu,81
fruits,80
after,79
much,74
time,73
ya,72
feel,72
oct,72
earth,71
main,70
people,69
hota,69
om,68
mujhe,65
any,65
day,65
years,64
kiya,63
now,63
past,62
free,62
know,61
share,60
hum,59
world,59
na,59
sab,58
routine,58
resources,58
tha,57
eat,56
aaj,56
guru,56
raw,56
kuch,55
raha,55
should,55
human,54
make,54
water,54
har,53
ne,53
use,52
request,52
get,51
mind,50
experience,50
hoti,49
apne,48
thankyou,48
kisi,47
mere,47
healthy,47
health,46
videos,46
mera,46
kaise,45
baat,45
wo,44
log,44
then,44
rahe,44
kare,44
dai,43
lot,42
divine,42
urja,42
milk,42
fresh,41
take,41
coconut,41
man,41
many,41
every,41
prakriti,40
true,40
family,40
some,40
because,40
problem,40
right,40
shiv,40
details,39
present,39
hoon,38
plz,38
jab,38
too,38
follow,38
info,38
bharat,38
sakta,37
why,37
maine,37
just,37
sahi,37
meditation,37
always,37
last,37
ab,36
aapko,36
karna,36
meri,36
information,36
kam,36
khana,36
fruit,36
had,36
sath,36
webinars,36
universe,35
white,35
practice,35
work,35
fir,35
may,35
hua,34
daily,34
aapke,34
karne,34
yes,34
lekin,34
param,34
per,34
need,34
pls,34
person,33
positive,33
days,33
other,33
even,33
age,33
sakte,33
don,32
think,32
jata,32
since,32
jeevan,32
these,31
baad,31
chahiye,31
want,31
rahi,30
peace,30
aapki,30
etc,30
din,30
india,30
nuts,30
way,30
tak,29
diya,29
ghar,29
ja,29
pain,29
kr,29
such,29
doctor,29
through,29
colour,29
well,29
journey,29
ese,29
dekh,28
jaise,28
karte,28
kaha,28
khane,28
without,28
thik,28
real,28
agar,28
future,28
really,28
vo,28
reply,27
kabhi,27
baba,27
beautiful,27
hote,27
vegetables,27
toh,27
live,27
whole,27
tell,27
feb,27
bad,26
aapne,26
sabhi,26
aa,26
believe,26
thi,26
bhagwan,26
said,26
does,26
pm,26
give,25
uske,25
salad,25
doing,25
lagta,25
things,25
agree,25
nd,25
death,25
pr,25
same,25
than,25
le,24
new,24
less,24
start,24
jan,24
bless,24
logo,24
made,24
first,24
morning,24
amazing,23
wale,23
gaya,23
parmatma,23
khud,23
kha,23
hone,23
mother,23
eating,23
sai,23
murli,23
register,23
subscribers,23
viewers,23
wonderful,22
see,22
apna,22
kai,22
apni,22
de,22
guide,22
baar,22
cooked,22
pranam,22
satya,22
jyada,22
him,22
rd,22
heal,22
sugar,22
back,22
weight,22
abhi,21
happy,21
karta,21
gyan,21
session,21
kaam,21
would,21
find,21
sirf,21
hoga,21
spiritual,21
say,21
medicine,21
lahore,21
material,21
out,20
pure,20
issues,20
everything,20
used,20
go,20
both,20
truth,20
rhe,20
pe,20
suffering,20
state,20
ie,20
keep,20
been,20
jai,19
banaye,19
heart,19
possible,19
own,19
rhi,19
aati,19
karan,19
never,19
part,19
being,19
come,19
bataye,19
months,19
march,19
form,18
galat,18
nahin,18
habit,18
better,18
aapka,18
times,18
sare,18
veg,18
kyu,18
treatment,18
sharir,18
pata,18
rha,18
yoga,18
those,18
acha,18
connection,18
coming,18
cow,18
june,18
seeds,18
april,18
november,18
hui,17
saal,17
high,17
everyone,17
dry,17
ultimate,17
full,17
duniya,17
given,17
try,17
lives,17
bohot,17
foods,17
jati,17
become,17
mil,17
tea,17
blessed,17
singh,17
again,17
juice,17
yeh,16
hue,16
halka,16
karm,16
therapy,16
kundalini,16
non,16
atma,16
bilkul,16
dete,16
must,16
making,16
jane,16
anubhav,16
ham,16
different,16
around,16
seen,16
lunch,16
december,16
available,15
sun,15
kuchh,15
still,15
reki,15
simple,15
enlightenment,15
bimar,15
min,15
hun,15
souls,15
nai,15
due,15
did,15
nehi,15
salads,15
bana,15
today,15
low,15
change,15
started,15
bare,15
dinner,15
sharing,15
deti,15
august,15
itna,14
roti,14
laga,14
blessings,14
sahab,14
stomach,14
cure,14
money,14
problems,14
sal,14
samaj,14
relief,14
bas,14
tarah,14
respect,14
lifestyle,14
physical,14
before,14
karam,14
path,14
once,14
powers,14
baki,14
highly,14
saath,14
breakfast,14
fal,14
following,14
got,14
source,14
thanku,14
salt,14
skin,14
sprouts,14
mandir,14
rajyog,14
safal,14
mantra,14
bahot,13
bade,13
hame,13
janam,13
ha,13
iss,13
suggest,13
herbal,13
blood,13
excellent,13
hard,13
karti,13
thoughts,13
theek,13
old,13
alag,13
krta,13
almighty,13
dhanyawad,13
plan,13
gai,13
kind,13
long,13
aane,13
bhut,13
karke,13
already,13
kese,13
energetic,13
healer,13
mei,13
hamare,13
master,13
hot,13
dil,13
event,13
liter,13
app,13
sachi,13
geeta,13
meet,13
balanced,13
hema,13
honour,13
tarike,12
upar,12
bimari,12
giving,12
yahi,12
gya,12
nutrition,12
process,12
vegan,12
insaan,12
over,12
bina,12
milti,12
absolutely,12
fact,12
something,12
apko,12
matlab,12
complete,12
vibration,12
question,12
came,12
type,12
aise,12
wrong,12
between,12
let,12
almost,12
tab,12
band,12
gas,12
karmic,12
going,12
hoo,12
indian,12
home,12
yrs,12
moksh,12
hme,12
universal,12
understand,12
within,12
digestion,12
culture,12
gives,12
madad,12
gaye,12
face,12
news,12
madhuban,12
swarnim,12
healthier,12
happier,12
progress,12
toward,12
largest,12
historical,12
guest,12
smt,12
malini,12
seminar,12
saza,12
kal,11
buddha,11
beings,11
dekha,11
leta,11
bataiye,11
baare,11
constipation,11
lag,11
aatma,11
exercise,11
kidney,11
aisa,11
jaye,11
cold,11
means,11
mat,11
animal,11
rehta,11
banana,11
black,11
normal,11
relatives,11
matter,11
isliye,11
gratitude,11
dharm,11
pani,11
namaskar,11
answer,11
nk,11
next,11
found,11
book,11
dhyan,11
cannot,11
humare,11
under,11
namaste,11
could,11
felt,11
sakti,11
roj,11
sabji,11
kyunki,11
es,11
aao,11
seva,11
corona,11
seed,11
poore,11
jioji,11
marai,11
inai,11
wala,10
deta,10
khate,10
rafisahab,10
krishna,10
based,10
aata,10
dono,10
sake,10
saw,10
getting,10
balance,10
maa,10
krna,10
hein,10
down,10
kre,10
hume,10
sa,10
completely,10
voice,10
departed,10
wahi,10
isi,10
honge,10
daal,10
mila,10
point,10
phir,10
apki,10
faith,10
protein,10
style,10
uski,10
anything,10
myself,10
koti,10
insan,10
dharti,10
aahar,10
during,10
super,10
foundation,10
raat,10
puri,10
usko,10
advice,10
regards,10
khao,10
pehle,10
sense,10
informative,10
meat,10
law,10
jisse,10
taking,10
example,10
father,10
having,10
totally,10
chemical,10
karo,10
bhojan,10
swarg,10
chintan,10
saari,10
manav,10
soup,10
satyayug,10
sangamyug,10
ruhani,10
dadi,10
ones,10
yai,10
amil,10
youtube,9
karma,9
hae,9
shree,9
ram,9
whatever,9
bhar,9
few,9
symbols,9
naturally,9
useful,9
rice,9
bolte,9
naam,9
wish,9
lete,9
deep,9
done,9
laws,9
reality,9
created,9
words,9
unko,9
kyun,9
desh,9
solutions,9
big,9
control,9
wise,9
chawal,9
avoid,9
fat,9
definitely,9
fully,9
banaiye,9
jankari,9
reason,9
hona,9
ban,9
desi,9
extra,9
hand,9
according,9
higher,9
