token,count
hai,4790
kya,4013
se,1829
ki,1743
reiki,1661
ke,1583
bhi,1406
ho,1368
ka,1284
ko,1277
how,1275
kaise,1119
aap,1004
aur,959
nahi,920
dr,833
ye,771
can,759
life,746
healing,708
hu,678
learn,654
all,651
hain,625
mai,623
kar,619
sharma,603
mujhe,598
doctor,595
koi,591
bk,591
nhi,590
sakte,560
ek,546
liye,515
plz,489
mein,488
science,471
jo,461
ya,453
past,450
hota,448
kam,437
par,422
bahut,421
level,419
kare,417
main,412
diet,359
food,343
khana,337
sab,330
fruits,329
weight,328
kuch,327
sakta,325
gift,322
na,316
help,313
kha,311
energy,309
about,309
pls,301
reply,298
join,297
cure,295
karna,293
kiya,291
mere,291
log,288
tha,284
mera,278
am,278
raha,273
apne,268
rahe,266
will,264
baat,257
meri,254
very,253
hum,252
th,251
do,250
hoga,248
online,246
thik,244
chahiye,243
savita,243
legends,239
agar,238
here,238
wo,235
time,234
force,233
problem,231
khane,229
click,229
boost,228
milk,220
st,218
sahi,217
kr,214
ne,213
much,211
course,209
raw,203
group,200
sath,199
kisi,198
make,198
knowledge,197
lekin,197
le,197
bataye,196
body,193
sugar,191
love,191
dear,190
fir,186
us,186
workshop,185
guru,183
hun,183
toh,182
gaya,180
hoti,179
contact,178
power,176
want,176
disease,173
medicine,171
support,171
self,169
aura,168
hua,168
living,168
sahab,168
use,167
bimari,166
future,165
ja,164
ab,164
karne,164
diseases,164
one,163
eye,160
where,159
years,158
tak,156
maine,154
know,154
jata,154
more,154
karte,152
pr,152
attend,150
har,149
din,148
vo,148
baad,148
also,146
others,145
protein,144
chakra,144
eat,143
kre,143
per,143
fruit,142
sakti,140
aapke,140
powerful,140
subscriber,139
viewer,138
khaye,137
jab,135
most,135
aapki,135
negative,135
pata,133
system,133
hote,132
opening,132
gain,131
karu,130
tell,129
diya,128
like,128
get,128
immunity,128
art,128
any,127
loving,127
fight,127
bare,126
rahi,125
attunnement,125
pe,124
take,122
thi,122
salad,121
guide,120
apna,119
ap,119
only,119
health,118
plan,118
de,117
banaye,117
song,117
janam,116
phir,115
aaj,115
saal,114
dekh,114
nahin,114
kabhi,114
forces,114
muje,113
aapne,112
jyada,112
people,112
field,111
karta,110
aapko,110
apni,110
hoon,110
aapka,110
bina,110
related,110
roti,109
kaha,109
immune,109
ilaj,108
nuts,108
bataiye,107
session,107
ghar,107
pranam,106
abhi,106
millions,106
aapse,106
bhut,106
skte,106
mind,106
trained,106
plr,105
regression,105
worldwide,105
pet,104
bad,104
ha,102
fees,102
sirf,102
healthy,102
kidney,102
vital,102
preventing,102
viruses,102
follow,101
age,101
pain,101
aa,100
aisa,100
information,99
diabetes,99
ham,98
baar,98
galat,97
videos,97
jaise,97
request,97
kuchh,96
rha,96
logo,95
now,95
colitis,94
rhe,94
hone,93
share,93
water,93
pani,91
day,91
after,91
god,90
theek,90
sach,90
iska,89
bat,89
sal,89
sabhi,89
krna,89
reki,88
many,87
coconut,87
should,86
gaye,85
janm,85
khud,85
man,85
bata,85
free,84
dry,83
sar,83
mil,83
don,82
natural,82
wale,81
possible,81
khate,80
app,80
apke,80
chahta,80
yeh,79
bar,79
etc,79
lena,78
karan,77
dijiye,77
feel,77
fal,77
go,77
gya,76
then,76
vegetables,76
uske,76
liya,76
see,75
lagta,75
jaye,74
sabji,74
doodh,74
bol,73
loss,73
experience,73
bataya,73
bilkul,73
khao,73
itna,72
hogi,72
namaste,72
need,72
pl,72
oct,72
gas,71
bhagwan,71
person,71
apka,71
band,71
gyan,70
without,70
kaam,70
duniya,69
btaye,69
yah,69
kru,69
bohot,69
apki,68
some,68
last,67
bahot,66
uska,66
chahti,66
iske,66
tab,66
family,66
details,66
daily,65
hm,65
karke,65
days,65
kis,65
karen,65
bana,65
year,64
jate,64
old,64
tarah,64
treatment,64
issues,63
jana,63
saath,63
other,63
may,63
ibd,63
dekha,63
suggest,62
hona,62
bolte,62
