Video_Title,Comment_Text,Comment_Date,Like_Count,Language_Label,Username_Anon,Nature_Aligned_Manual,Nature_Aligned_Auto
Clear Your Bowels In 10sec || #digestionproblems #rawfood #acidity #constipation #drnksharma,iss age me itni energy god bless you sir,2023-02-21 05:18:00+00:00,1318,English,,-1,-1
Clear Your Bowels In 10sec || #digestionproblems #rawfood #acidity #constipation #drnksharma,true lines but people only just listen but don t follow until they get sick,2023-02-17 09:00:44+00:00,794,English,,-1,-1
Why Are We Running After Costly Coconut Water For Health? | Top 5 Cheap Substitutes of Coconut Water,आज मेरी आंखें खुल की खुली रह गई क्योंकि मेरा मन भी बाजार में नारियल पानी को देखकर बहुत मचलता था।,2022-02-27 11:32:05+00:00,561,Hindi,,-1,-1
Clear Your Bowels In 10sec || #digestionproblems #rawfood #acidity #constipation #drnksharma,yaha bahut aadmi negative comment bhi kar rahe hai lakin 75 80 ki age me itna active rahna bhi aasan kaam nahi hai,2023-02-19 14:47:44+00:00,533,English,,-1,-1
Four Techniques To Experience Past Life Within Few Seconds | Visit Past Life With Dr. NK Sharma,सर आप इतने advertises रखोगे तो कैसे concentrate करेंगे,2023-09-10 03:09:45+00:00,345,Hindi,,-1,-1
Clear Your Bowels In 10sec || #digestionproblems #rawfood #acidity #constipation #drnksharma,jeisa material mila waisi imarat khadi kardi he has simplified the equation thank you big guy,2023-02-25 16:44:21+00:00,301,English,,-1,-1
Why Milk Is The Root Of Many Diseases || Milk a silent killer ||,आप जिस दूध की बात कर रहे हैं वो विदेशी क्रॉस ब्रीड नस्लों की बात है विशुद्ध भारतीय देसी गाय के दूध में अनेकों औषधीय गुण हैं इसीलिए भारत में गौ को माता का दर्जा हासिल है,2021-10-21 10:53:22+00:00,283,Hindi,,-1,-1
मृत्यु ईश्वर के हाथ नही?। || Life & Death Reality That You Don't Know!! || Dr. NK Sharma,बाकी सब ठीक है पर आदी शंकराचार्य विवेकानंद जैसे लोगो ने इतनी आध्यात्मिक प्रगती करने के बाद ३२ ३३ की आयु मे क्यू मरे,2020-08-03 05:19:14+00:00,281,Hindi,,-1,-1
Why Are We Running After Costly Coconut Water For Health? | Top 5 Cheap Substitutes of Coconut Water,gussa to tb aata jb 60 70rs lgao or usme pani km nikalta hai,2023-10-19 06:51:07+00:00,254,English,,-1,-1
Easy & Permanent Solution To IBS & ULCERATIVE COLITIS || IBS Treatment || Dr. NK Sharma,मैंने ऐसे लोग भी देखे हैं जो दारू भी दबा के पी रहे हैं और कुछ भी बीमारी नही और मस्त है और एक ऐसा है जो ना दारु पीता और मीट खाता वो आदमी बीमारी से जूझ रहा है,2023-07-11 08:12:46+00:00,234,Hindi,,-1,-1
Why Are We Running After Costly Coconut Water For Health? | Top 5 Cheap Substitutes of Coconut Water,yes sometimes coconut water on a regular basis cost gone beyond monthly budget thank you for your valuable helpful advice sir,2022-03-01 17:53:29+00:00,226,English,,-1,-1
Why Are We Running After Costly Coconut Water For Health? | Top 5 Cheap Substitutes of Coconut Water,you are absolutely right sir totally agree with you in spite of being so costly sometimes people are compelled to take tender coconut water because they are advised to take due to its cooling alkaline and nutritive value but we need to definitely educate ourselves and others regarding the ample substitutes that are available to us in much lesser price in the market,2022-03-02 18:48:18+00:00,225,English,,-1,-1
Why Milk Is The Root Of Many Diseases || Milk a silent killer ||,भाई साहब एक बार हरियाणा आओ यहां लोग रोज बहुत दुध पीते हे और 100 साल तक जीते है,2021-10-21 10:59:34+00:00,189,Hindi,,-1,-1
Why Are We Running After Costly Coconut Water For Health? | Top 5 Cheap Substitutes of Coconut Water,haven t joined us in the live session yet hurry and join now don t miss the powerful reiki level 1 attunement topics yet to be covered 1 introduction to reiki 2 aura science what is aura how to see and feel aura how to measure aura how to clean self and others aura 3 self healing how to heal self with reiki 4 other s healing how to heal others with reiki 5 and eye opening topics with dr n k sharma link to join,2022-04-17 04:29:01+00:00,189,English,,-1,-1
Most Easiest Way To Cure Eczema & Psoriasis || Cure Skin Problems Naturally || Dr. NK Sharma,if he takes 17 minutes to explain how to cure these diseases then there is no quick way,2023-03-13 12:38:17+00:00,183,English,,-1,-1
Why Are We Running After Costly Coconut Water For Health? | Top 5 Cheap Substitutes of Coconut Water,मैं डाक्टर साहब को सेल्यूट करता हूं कि आपने मन्द बुद्धि आंखों के अंधों शोकिया लोगों को सही राह दिखाई है जय हिन्द वन्देमातरम,2022-05-12 11:53:32+00:00,182,Hindi,,-1,-1
Why Are We Running After Costly Coconut Water For Health? | Top 5 Cheap Substitutes of Coconut Water,there are two advantages of coconut water 1 it can not be adulterated while rest all juices are aldulterated as well as farmers make heavy use of uria in producyion of cucumber tomatto snakeguard nira which is available in maharshtra is higly adilterated everyone knows this fact 2 coconut water gives high degree of potassium which is easily soluble in human body grnetically resembles to out plazma as a result in exceptional sitiations i e war like situation instead of bllood sometimes cocnut water is used so in nutshell it is not used just necause it is alkaline but also due to exceptional medicle properties,2022-10-12 12:14:54+00:00,178,English,,-1,-1
Why Are We Running After Costly Coconut Water For Health? | Top 5 Cheap Substitutes of Coconut Water,a big salute to dr sahab for easily available cheap healthy natural resources jai hind,2022-02-27 11:04:46+00:00,170,English,,-1,-1
Digestion Or Indigestion?? || Your Stools Are The Real Indicator Of Your Digestion || Dr. NK Sharma,नमस्ते डॉक्टर साहेब आपने इस विडिओ में जो शिक्षा दि हैं वह सच मैं हमारे पाठ्य पुस्तको मैं देनी चाहिये तभी नये पिढी के माँ बाप अपने खुद को और आनेवाले नई पिढी को स्वस्थ रख सकेंगे,2022-03-06 02:42:42+00:00,163,Hindi,,-1,-1
हैरान रह जाओंगे  प्राकृतिक आहार के फायदे सुनकर  BENEFITS OF RAW FOOD  UNBELIEVABLE MARVELOUS,सोने का पिंजरा नहीं महिलाओं की कैद है रसोई घर।ससूराल में खाने को लेकर सबसे अधिक ताने सहती हैं बहुएं। पति पत्नी के झगड़ो में खाना भी महत्वपूर्ण भूमिका निभाता है,2020-08-16 12:45:41+00:00,160,Hindi,,-1,-1
Why Are We Running After Costly Coconut Water For Health? | Top 5 Cheap Substitutes of Coconut Water,सही बात है। जब सस्ते option हैं वही पोषक पदार्थों वाले तो महंगे चीज नहीं लेना चाहिए। शौंक स्वाद दवा के लिए चलेगा। पर रोज लेना नुकसान है। आपने सही जागरूकता फैलाई।,2022-02-24 18:40:43+00:00,148,Hindi,,-1,-1
