token,count
all,1962
can,1633
about,1475
love,1462
like,1461
just,1377
life,1342
more,1313
people,1265
rich,1230
do,1200
one,1115
how,1107
will,1043
much,911
energy,907
time,903
feeling,898
am,881
out,880
peace,875
being,831
been,827
now,812
get,794
would,775
us,768
don,726
had,723
years,721
because,690
ve,688
really,686
feel,685
way,666
very,662
soul,625
earth,625
some,617
also,616
light,606
many,606
need,600
only,585
day,583
know,581
podcast,578
nature,575
see,567
even,564
think,551
these,549
world,548
work,546
than,541
food,535
other,530
back,507
such,506
then,505
go,496
make,485
always,474
most,472
through,469
re,467
things,464
want,464
well,451
better,449
health,446
down,443
over,443
him,440
never,438
both,436
going,427
something,420
too,415
after,408
mind,407
where,404
why,402
every,399
god,391
right,390
natural,385
say,381
myself,378
amazing,374
beautiful,372
new,371
human,366
keep,366
still,363
body,363
doing,360
live,359
own,358
could,356
first,355
conversation,354
diet,354
here,350
eat,343
help,342
self,342
any,335
those,322
did,321
others,320
vegan,315
take,314
experience,314
having,314
lot,311
without,311
based,311
book,309
same,308
interview,308
heart,307
change,307
should,303
man,298
plant,295
everything,293
thing,292
find,290
long,289
person,281
made,276
plants,276
while,271
does,264
ever,263
true,260
two,258
before,257
off,257
believe,257
whole,256
eating,255
hope,253
living,247
part,246
around,246
look,242
again,242
different,239
use,235
felt,232
year,232
talk,230
said,230
listening,229
listen,229
let,227
brain,226
dr,226
real,224
days,223
everyone,222
healthy,222
roll,221
story,221
didn,220
calm,220
each,220
hard,219
getting,217
trying,214
little,213
important,213
journey,213
got,212
hear,212
come,212
may,212
started,210
put,209
fresh,208
few,206
since,205
meat,205
bad,204
another,204
old,203
someone,202
start,202
times,201
care,200
ago,200
sharing,199
understand,198
done,198
try,198
place,198
makes,197
actually,197
away,195
end,195
mental,194
give,193
yourself,192
sure,192
point,191
foods,191
enough,189
show,189
found,189
running,187
etc,185
truly,185
animals,184
doesn,184
making,183
water,182
family,182
become,179
last,178
free,177
happy,177
able,176
yet,176
big,176
stop,175
sleep,175
thought,175
pain,175
habit,175
open,173
read,172
loved,171
power,170
anything,168
guys,167
yes,166
often,165
truth,164
lost,164
sense,164
spiritual,164
looking,163
maybe,162
today,161
went,160
less,160
nothing,159
once,158
taking,157
deep,157
thinking,157
fear,156
kind,155
ll,155
far,155
learn,155
social,155
positive,154
moment,152
podcasts,151
grateful,151
personal,151
high,149
episode,148
months,148
between,148
next,145
used,145
needs,145
small,145
working,144
almost,143
within,142
especially,141
age,141
home,139
ourselves,139
thoughts,138
must,138
children,137
though,137
words,137
comes,136
run,136
death,136
weight,136
system,135
watching,135
daily,135
process,135
past,134
julie,134
state,133
issues,133
already,132
lives,132
isn,132
routine,132
forward,132
came,132
until,131
idea,131
addiction,131
meditation,130
tell,130
wonderful,130
level,129
inspiring,129
money,128
seems,128
share,127
instead,126
during,126
society,126
focus,126
guy,126
interesting,126
might,125
left,124
heard,124
full,124
coming,124
anyone,123
bring,123
week,123
joy,123
future,122
consciousness,122
content,122
alone,121
friends,121
physical,120
using,120
saying,120
control,120
humans,120
possible,119
stay,118
needed,118
habits,118
happiness,118
message,117
animal,117
support,117
eyes,117
alcohol,117
planet,117
community,116
feels,116
stuff,116
information,116
young,116
matter,116
ways,115
wisdom,115
else,115
wrong,114
air,114
strong,114
respect,114
rest,114
knowledge,113
understanding,112
appreciate,111
purpose,111
watch,111
learning,111
rather,110
talking,110
enjoy,110
fast,110
healing,109
path,109
problem,109
wish,108
inspiration,108
lifestyle,107
sometimes,107
wow,107
humanity,106
morning,106
example,106
course,106
says,105
helped,105
perspective,105
connection,105
together,105
training,105
given,104
mother,104
learned,102
exercise,102
suffering,101
awesome,101
science,100
create,100
reading,100
jesus,100
agree,100
women,99
growth,99
finding,99
huge,99
incredible,98
fact,98
changed,98
easy,98
definitely,98
bit,97
mean,97
relationship,97
low,97
ability,97
fasting,97
importance,97
reason,96
men,96
giving,95
against,94
problems,94
balance,94
remember,94
beyond,94
continue,93
reality,93
media,93
trauma,93
seen,93
transformation,93
research,93
value,93
challenges,93
breath,92
environment,92
school,91
art,91
totally,91
experiences,91
im,90
discussion,90
face,90
absolutely,90
follow,90
hours,90
least,90
job,89
finally,89
longer,89
blood,89
fat,89
die,89
non,89
powerful,88
glad,88
seeing,88
takes,88
took,88
wanted,88
anxiety,88
videos,88
simple,87
called,87
means,87
sugar,87
enjoyed,87
awareness,87
move,87
attention,87
books,87
towards,87
call,86
head,86
impact,86
however,86
space,86
land,86
spirit,86
voice,86
gift,85
stress,85
guests,85
faith,85
completely,85
goes,84
ideas,84
inspired,84
told,83
word,83
practice,83
bringing,83
inner,83
woman,83
success,83
inside,83
helps,82
house,82
friend,82
themselves,82
normal,82
cannot,82
gives,81
night,81
conversations,81
youtube,81
step,81
quality,81
won,80
saw,80
cancer,79
kids,79
trust,79
due,79
emotional,79
ones,78
approach,78
gut,78
simply,78
products,78
drinking,78
present,78
grow,78
perfect,78
outside,78
levels,77
form,77
issue,77
works,77
probably,77
speak,77
zach,77
disease,76
creating,76
oil,76
buy,76
behind,75
super,75
exactly,75
wants,74
choose,74
lack,74
questions,74
race,74
moving,74
guest,73
wasn,73
cause,73
shared,73
either,73
early,73
parents,73
universe,73
recovery,73
lots,73
organic,73
brought,73
decision,73
child,72
later,72
weeks,72
beings,72
brilliant,72
minutes,72
knew,72
short,71
couple,71
processed,71
single,71
whatever,71
difference,71
changing,71
gone,71
drink,71
entire,71
himself,71
question,71
th,71
pretty,71
deeply,70
culture,70
emotions,70
higher,70
gets,69
key,69
helpful,69
under,68
ask,68
hearing,68
order,68
including,68
benefits,68
compassion,68
created,68
oh,68
crazy,67
action,67
three,67
happen,67
dont,67
quite,67
challenge,67
gratitude,67
stories,67
relationships,67
changes,67
across,67
role,67
dark,66
walk,66
father,66
nutrition,66
wait,66
recently,65
strength,65
despite,65
cool,65
putting,65
side,65
break,64
ai,64
clear,64
clean,64
movement,64
feelings,64
honest,64
fun,64
haven,64
type,64
watched,63
situation,63
helping,63
listened,63
realize,63
source,63
lbs,63
upon,63
ego,63
choice,62
freedom,62
tried,62
clarity,62
mostly,62
hit,62
worth,62
walking,62
difficult,62
protein,62
drugs,62
became,62
behavior,62
lol,62
ken,62
ok,61
worked,61
wife,61
lived,61
doctor,61
close,61
couldn,61
meaning,61
everyday,61
similar,61
bless,61
loving,61
top,61
favorite,61
following,61
topic,61
lead,61
sounds,60
literally,60
leave,60
highly,60
along,60
although,60
potential,60
gave,60
sit,60
ultra,60
sick,60
goal,60
country,59
tired,59
yoga,59
knowing,59
month,59
second,59
exist,59
sad,59
itself,59
certain,58
imagine,58
name,58
effort,58
individual,58
answer,58
eye,58
aware,58
negative,58
turn,58
class,58
advice,57
darkness,57
amount,57
guess,57
shift,57
therapy,57
husband,57
fan,57
depression,57
half,57
career,57
terry,57
pete,57
public,56
local,56
conscious,56
results,56
heal,56
reasons,56
current,56
fall,55
anymore,55
fully,55
profound,55
wise,55
sober,55
vs,55
seem,55
write,55
several,55
music,55
set,55
turned,54
pressure,54
looks,54
mom,54
case,54
choices,54
hour,54
connected,54
beauty,54
interviews,54
wonder,54
excellent,54
fruit,54
lord,54
david,54
term,54
cold,54
safe,53
deal,53
mindset,53
identity,53
perhaps,53
humble,53
vegetarian,53
add,53
christ,53
comments,53
adam,53
challenging,53
experienced,52
raw,52
happens,52
struggling,52
allow,52
wouldn,52
courage,52
creative,52
speaking,52
seeking,52
relate,52
basically,52
brother,52
endurance,52
starting,52
brings,52
wake,51
government,51
sports,51
passion,51
becomes,51
growing,51
genuine,51
aren,51
sorry,51
save,51
steps,51
overall,51
large,51
whether,50
beginning,50
spend,50
goals,50
spent,50
john,50
act,50
fish,50
dying,50
writing,50
general,50
anyway,50
comment,50
bed,50
discusses,50
childhood,49
vegetables,49
blessings,49
authentic,49
group,49
alive,48
check,48
breathing,48
ground,48
loss,48
carnivore,48
actions,48
service,48
soon,48
feed,48
wide,48
tom,48
sean,48
build,47
forever,47
realized,47
hold,47
meal,47
presence,47
unique,47
taught,47
led,47
meet,47
room,47
talks,47
seek,46
specific,46
skin,46
data,46
happening,46
healthier,46
push,46
clearly,46
teach,46
knows,46
dream,46
constant,46
soil,46
film,46
co,46
showing,46
species,46
lose,45
systems,45
doctors,45
rock,45
began,45
response,45
medical,45
study,45
teacher,45
dude,45
physically,45
further,45
movie,45
kept,45
values,45
business,45
inspirational,45
namaste,45
fit,44
hell,44
absolute,44
hey,44
aging,44
shows,44
personally,44
hungry,44
pay,44
desire,44
worse,44
slow,44
reach,44
nor,44
practices,44
zone,44
force,44
direction,44
resistance,44
dog,44
struggle,44
quit,44
bush,44
responsibility,43
easier,43
vulnerability,43
stuck,43
points,43
fed,43
salt,43
experiencing,43
happened,43
individuals,43
sport,43
fantastic,43
material,43
major,43
view,43
opinion,43
touch,43
extremely,43
deeper,43
hands,43
total,43
building,42
flow,42
toxic,42
effects,42
history,42
benefit,42
accept,42
connect,42
becoming,42
touched,42
result,42
matters,42
telling,42
successful,42
blessed,42
pray,42
lovely,42
war,42
known,42
performance,42
stillness,42
wild,42
car,42
education,42
meaningful,42
sun,42
vegans,42
dead,42
excited,42
certainly,42
saved,42
fine,41
hopefully,41
stopped,41
losing,41
modern,41
complete,41
taken,41
ready,41
studies,41
zero,41
play,41
game,41
guru,41
opportunity,41
toward,41
decided,41
existence,41
mindfulness,41
throughout,41
plus,41
dairy,41
died,41
pure,40
asking,40
area,40
comfort,40
version,40
miss,40
farm,40
divine,40
vulnerable,40
struggles,40
yrs,40
obviously,40
meals,40
topics,40
mentioned,40
allowed,40
intelligent,40
line,40
grace,40
carbs,40
born,40
common,40
cut,40
grass,40
figure,40
allows,40
asked,39
number,39
dad,39
letting,39
style,39
heaven,39
honestly,39
product,39
constantly,39
explain,39
insights,39
sitting,39
farming,39
tears,39
leading,39
fight,39
greatest,39
spirituality,39
usually,38
industry,38
places,38
ate,38
expensive,38
late,38
interested,38
covid,38
insight,38
post,38
extreme,38
raised,38
enjoying,38
currently,38
concept,38
wanting,38
population,38
minute,38
attitude,38
emphasizing,38
except,37
stand,37
allowing,37
city,37
broke,37
shit,37
forget,37
valuable,37
hand,37
older,37
aspects,37
calories,37
keeping,37
special,37
shame,37
sleeping,37
incredibly,37
discovered,37
athletes,37
ive,37
depressed,37
program,37
quickly,37
son,37
emphasizes,37
kill,37
mike,37
language,36
episodes,36
symptoms,36
athlete,36
confidence,36
acceptance,36
speaker,36
solution,36
moments,36
diets,36
suffer,36
per,36
mine,36
tend,36
chance,36
bodies,36
garden,36
motivation,36
quiet,36
near,36
essential,36
biggest,36
depth,36
taste,36
baha,36
embracing,35
naturally,35
kid,35
states,35
vision,35
plan,35
red,35
abuse,35
slowly,35
mentally,35
religion,35
speaks,35
black,35
return,35
fix,35
rr,35
moved,35
quick,35
improve,35
track,35
fighting,35
bike,35
environmental,35
met,35
hearts,35
daughter,35
discipline,35
stomach,35
consistent,35
consider,35
cows,35
poor,34
decisions,34
noticed,34
hate,34
fruits,34
regarding,34
calling,34
evolution,34
personality,34
audience,34
store,34
parts,34
veggies,34
beliefs,34
therefore,34
emotion,34
intelligence,34
fascinating,34
drug,34
effect,34
necessary,34
seriously,34
drive,34
complex,34
perception,34
looked,34
period,34
trees,34
keto,34
sound,34
cheese,34
influence,34
severe,34
diseases,33
global,33
american,33
decades,33
survive,33
waiting,33
milk,33
core,33
pod,33
piece,33
seeds,33
bottom,33
awe,33
gym,33
broken,33
veganism,33
driven,33
subject,33
hoping,33
produce,33
access,33
solutions,33
reduce,33
heavy,33
related,33
marathon,33
guide,33
green,33
massive,33
field,33
news,33
immediately,33
focused,33
afraid,32
longevity,32
souls,32
staying,32
release,32
tough,32
win,32
muscle,32
technology,32
teaching,32
medicine,32
grown,32
filled,32
easily,32
white,32
extra,32
sort,32
team,32
meditate,32
appreciation,32
table,32
ten,32
shares,32
unless,32
eventually,32
mr,32
phone,32
climate,32
various,32
agriculture,32
fitness,32
opening,31
mood,31
yeah,31
particular,31
separate,31
cultural,31
addict,31
richroll,31
eggs,31
info,31
ultimately,31
luck,31
serve,31
belief,31
