Video_Title,Comment_Text,Comment_Date,Like_Count,Language_Label,Username_Anon,Nature_Aligned_Manual,Nature_Aligned_Auto
Change Your Brain: Neuroscientist Dr. Andrew Huberman | Rich Roll Podcast,i just can t believe i live in a world where i can access so much knowledge for free,2021-02-04 22:20:24+00:00,13442,English,,-1,-1
Advice From A 100 Year Old | Mike Fremont on The Rich Roll Podcast #shorts,this the first time i heard someone say when i was 88 knowing that was 12 years ago,2022-08-23 09:21:16+00:00,8985,English,,-1,-1
Change Your Brain: Neuroscientist Dr. Andrew Huberman | Rich Roll Podcast,i m not sure how i got here but i m glad,2020-11-18 18:06:39+00:00,8074,English,,-1,-1
The Insane Benefits of Water-Only Fasting: Dr. Alan Goldhamer | Rich Roll Podcast,i ve done many fasts and a 40 day fast once after about 3 or 4 days hunger goes away and you actually start to have a lot of energy at some point you aren t hungry anymore but realize how much time you spend buying preparing thinking about and eating food it is almost more about those things than being hungry anyway i highly recommend fasting and praying,2020-11-19 06:58:23+00:00,7509,English,,-1,-1
David Goggins Will Change Your Life | Rich Roll Podcast,i m 39 and i ran 20 miles on jan 1st listening to goggins i smoked a pack a day and drank myself to sleep every night 6 months ago quit everything started running in october once you change your mindset it really changes how you see your possibilities like i just don t care now i m doing it nothing bothers me,2019-01-08 01:01:04+00:00,7305,English,,-1,-1
The Insane Benefits of Water-Only Fasting: Dr. Alan Goldhamer | Rich Roll Podcast,being overweight unhealthy is hard being disciplined fit healthy is hard choose your hard,2020-12-02 17:52:32+00:00,7243,English,,-1,-1
Advice From A 100 Year Old | Mike Fremont on The Rich Roll Podcast #shorts,this guy grew up in the great depression had a chance to be a soldier in ww2 lived to watch the new world grow into what it is now and by the 80 s he was already 60,2022-08-29 00:16:34+00:00,6228,English,,-1,-1
The Rule of Thirds | Alexi Pappas,my false belief for the requirement to feel happy all the time is a standard setting me up to feel more depressed,2022-08-15 22:36:48+00:00,6129,English,,-1,-1
Making a hard decision? WATCH THIS | Dr. Ellen Langer,i learned this lesson as a young man and it has changed my life living indecisively is living with regret think over your choices carefully before deciding once you have made your choice embrace it accept the consequences take responsibility for it and move forward it will make you a stronger person,2024-03-02 14:17:12+00:00,6086,English,,-1,-1
The Single Biggest Point of Failure In A Man's Life | Scott Galloway X Rich Roll Podcast,this guy points out the exact reason i became a teacher as a male people emasculate me all the time for it and i m going to be making pretty much no money after rent bills and food but being there for kids without a dad and being a good male role model in their lives is worth all of that in my opinion,2024-05-06 23:26:28+00:00,5029,English,,-1,-1
The Insane Benefits of Water-Only Fasting: Dr. Alan Goldhamer | Rich Roll Podcast,once you start fasting you will learn that the meal is no longer the gift the fast is the gift dr mindy pelz,2020-10-03 22:19:56+00:00,4973,English,,-1,-1
Advice From A 100 Year Old | Mike Fremont on The Rich Roll Podcast #shorts,the fact he can walk without a cane and also speak well in his 100s speaks so much about his health,2022-08-28 16:29:50+00:00,4575,English,,-1,-1
