token,count
satvic,3558
movement,1173
can,1051
am,1011
all,922
natural,882
food,839
make,703
very,697
nature,692
also,677
much,671
team,626
like,622
life,598
will,598
love,591
how,533
do,514
just,504
people,499
more,482
diet,458
really,458
hai,450
feeling,439
about,436
energy,432
routine,427
body,424
us,421
now,419
one,414
after,402
lifestyle,380
healthy,380
time,362
videos,362
day,361
health,356
yoga,353
god,351
don,345
eat,341
get,336
these,332
only,328
use,327
way,314
feel,312
follow,309
doing,302
some,297
mother,296
fresh,295
because,289
want,287
help,286
such,285
too,282
many,278
any,276
weight,271
years,268
light,260
know,253
even,252
would,247
guys,247
days,246
subah,246
keep,243
work,239
se,236
following,234
milk,230
should,229
been,229
ki,228
recipes,226
soul,223
recipe,222
eating,219
skin,218
happy,218
made,212
then,211
daily,210
every,210
lot,209
bhi,206
plz,205
share,205
always,204
well,204
earth,202
bless,202
water,199
ke,199
take,198
ho,197
since,193
started,193
other,191
need,190
used,189
satvik,186
better,185
see,185
sugar,185
hair,184
got,182
amazing,181
give,174
family,174
why,172
try,170
had,169
out,168
beautiful,166
than,162
things,162
pls,160
peace,160
coconut,159
today,159
tell,157
yes,156
true,152
same,151
without,150
months,149
both,149
say,148
go,148
ko,147
morning,146
aur,144
ka,144
start,144
juice,144
products,143
being,142
aap,142
last,141
going,140
right,139
never,139
moment,139
using,138
suffering,137
most,136
making,136
fruits,136
everything,136
foods,134
calm,134
fasting,133
could,133
tried,133
sharing,132
change,130
nhi,129
problem,128
care,128
world,128
where,126
living,126
knowledge,124
live,122
come,121
think,121
thing,121
may,121
dear,120
back,120
book,120
request,119
before,119
here,118
ma,116
oil,116
re,116
mind,116
full,115
first,115
watching,115
whole,115
through,114
free,114
hu,113
having,112
those,110
hope,109
said,108
style,108
liye,108
while,107
etc,107
home,106
everyone,106
ve,106
pain,104
cure,103
protein,102
habit,102
gain,101
year,100
kya,100
long,99
job,98
sleep,97
positive,96
old,95
did,95
pure,95
drink,94
vegetables,94
still,94
real,94
again,93
information,93
bad,93
month,93
tea,93
thankyou,92
lots,92
sun,92
actually,91
face,90
coffee,90
suggest,89
india,88
animals,88
ye,88
new,87
person,86
become,86
let,85
felt,85
human,85
believe,84
krishna,84
om,84
heart,84
taking,83
ingredients,82
ek,82
stop,82
lost,82
healing,82
during,81
understand,81
something,80
kar,80
wow,80
plan,79
done,79
type,78
youtube,78
part,78
different,78
possible,78
dont,77
high,77
avoid,77
didn,77
few,76
instead,76
jo,76
definitely,76
pcod,76
gives,75
truly,75
dinner,75
mujhe,75
shanti,75
once,74
medicine,74
main,74
night,74
changed,73
vegan,73
non,73
fast,73
must,73
big,73
periods,73
giving,73
hours,73
awesome,73
indian,73
delicious,73
less,72
ll,72
exercise,72
kg,72
join,71
own,71
completely,71
does,71
eye,71
blessed,71
look,71
hey,70
off,70
nahi,70
anything,70
makes,70
low,70
eyes,70
helpful,70
wish,70
wonderful,70
normal,69
down,69
mai,69
powder,69
sister,69
koi,69
proud,68
due,68
especially,68
find,68
cold,67
stomach,67
di,67
simple,67
hare,67
cooking,67
content,66
power,66
stay,66
small,66
taste,66
helps,66
two,65
week,65
grateful,65
over,64
loved,64
times,64
able,64
based,63
getting,63
doesn,63
already,63
version,63
ever,63
subha,63
found,62
add,62
place,62
prakriti,61
naturally,61
nd,61
reply,61
within,61
kgs,61
radhika,61
important,61
lives,61
challenge,61
each,61
doctor,61
im,60
plant,60
tasty,60
bahut,60
sweet,60
myself,59
kind,59
problems,59
issues,59
feels,59
soon,59
easy,59
came,59
waiting,58
comes,58
almost,58
inspiring,58
voice,58
vegetarian,57
cause,57
age,56
past,56
appreciate,56
seeing,56
acne,56
super,56
meat,56
hota,56
solution,56
consume,55
totally,55
veg,55
dairy,54
little,54
trying,54
rice,54
working,54
sab,54
experience,53
available,53
buy,53
words,53
hindi,53
support,53
truth,52
drinking,52
journey,52
hard,52
spreading,52
save,52
na,52
energetic,52
happiness,52
sometimes,51
transformation,51
around,51
wanted,51
between,51
provide,51
tips,51
loss,51
others,51
needs,51
hain,51
enough,51
animal,51
difficult,51
student,50
practice,50
nothing,50
everyday,50
changes,50
seeds,50
needed,50
level,50
towards,50
form,50
disease,50
seen,49
stress,49
chemical,49
mere,49
looking,49
him,49
respect,49
along,49
ne,49
story,49
dry,48
clear,48
par,48
girl,48
raw,48
entire,48
reason,48
changing,48
followed,48
kuch,48
early,48
period,48
meditation,48
students,47
someone,47
next,47
log,47
tha,47
sure,47
blood,47
khana,47
maa,47
habits,47
matter,46
revolution,46
jaggery,46
bringing,46
reduce,46
increase,46
helped,46
science,45
apne,45
absolutely,45
mera,45
harsh,45
iam,45
enema,45
talk,44
name,44
safe,44
congratulations,44
self,44
watch,44
regular,44
mean,44
show,44
digestion,43
beauty,43
cook,43
put,43
continue,43
read,43
helping,43
rid,43
grow,42
complete,42
kids,42
ayurveda,42
thought,42
highly,42
point,42
away,42
pm,42
awareness,42
process,42
works,42
ways,42
according,42
till,42
given,42
workshop,41
money,41
literally,41
heavy,41
chemicals,41
trust,41
hum,41
gave,41
fruit,41
exercises,41
vedio,41
ash,41
means,41
plants,41
toh,41
soo,41
diya,41
hear,41
left,40
perfect,40
control,40
thinking,40
product,40
th,40
maintain,40
ones,40
junk,40
inspired,40
meal,40
stopped,40
question,40
heal,40
called,40
bring,40
per,40
ya,40
efforts,40
salt,39
outside,39
difference,39
cake,39
across,39
children,39
strong,39
kindly,39
comment,39
kaise,39
yrs,39
kr,39
ago,39
treatment,39
cow,39
air,38
wrong,38
humans,38
create,38
lekin,38
clean,38
cup,38
side,38
universe,38
another,38
starting,38
tomato,38
vegetable,38
gone,38
session,38
param,38
looks,37
harmful,37
blessings,37
idea,37
pressure,37
mental,37
powerful,37
cows,37
thyroid,37
results,37
cured,37
salad,36
easily,36
issue,36
saying,36
friendly,36
wake,36
veggies,36
gratitude,36
sick,36
juices,36
amount,36
vata,36
detox,36
dal,36
added,36
vitamin,35
went,35
shampoo,35
parents,35
anyone,35
mein,35
nuts,35
man,35
huge,35
