token,count
how,4199
hai,2056
can,2041
kya,1767
weight,1640
make,1410
am,1233
sugar,938
do,893
ho,812
also,809
bhi,771
se,766
all,751
food,735
protein,728
ke,719
diet,718
ki,709
satvic,699
gain,667
will,663
much,657
cure,652
plz,646
kaise,641
like,637
about,608
ko,605
people,563
get,561
body,558
very,538
help,532
ka,514
one,500
don,482
healthy,480
tell,471
eat,469
time,468
just,464
now,458
more,455
use,455
life,444
know,415
these,410
aap,405
satvik,404
aur,401
many,399
liye,391
after,388
want,386
some,384
loss,382
pls,380
any,380
us,377
ye,375
only,371
years,369
doctor,369
day,365
medicine,359
health,348
really,346
movement,343
kam,341
mujhe,336
nhi,336
should,334
hu,333
because,326
problem,325
nahi,325
then,324
even,323
milk,322
follow,320
videos,306
love,301
kar,295
take,290
mai,288
hair,287
lifestyle,287
too,281
days,280
need,273
kg,272
way,265
kare,260
ek,259
fasting,259
koi,256
skin,254
sakte,253
without,253
eating,250
would,243
yoga,243
feel,240
suffering,238
ma,238
out,236
water,232
juice,232
hota,229
doing,218
jo,218
than,215
hain,215
other,214
reply,213
kuch,208
had,204
fruits,201
been,199
natural,198
subah,198
pain,197
na,197
mera,196
made,195
such,194
give,194
since,193
same,193
share,192
bahut,190
main,189
say,188
every,188
thik,187
things,186
month,185
months,183
lot,182
jaggery,182
got,181
study,181
started,180
mein,180
long,179
following,177
right,176
mere,176
pcod,174
still,174
work,174
see,174
join,172
suggest,172
drink,172
par,172
di,171
god,171
last,171
always,170
high,170
log,170
team,170
used,170
try,170
coconut,169
well,168
science,166
oil,164
free,163
happy,162
could,161
better,160
daily,160
start,160
plan,160
old,159
never,159
diabetes,159
home,158
did,158
year,158
sab,155
those,154
kr,154
karna,152
why,151
face,151
keep,151
go,150
hum,150
thyroid,150
guys,149
naturally,148
type,147
yes,146
change,145
hindi,144
increase,143
foods,142
meri,142
where,142
khana,141
back,139
etc,139
energy,139
per,138
most,137
come,137
bad,137
book,137
age,136
think,135
vegetables,135
tea,134
reduce,133
recipe,132
fast,130
toh,130
powder,130
kiya,130
lost,129
white,128
morning,128
may,127
disease,127
everything,126
fat,126
rid,125
karne,125
plant,125
request,124
stop,124
exercise,124
said,123
tha,122
wo,122
before,122
first,120
having,120
products,120
thing,120
live,119
today,119
taking,119
eye,118
something,117
going,117
let,116
pe,116
chahiye,115
ya,114
using,114
coffee,114
everyone,113
kre,113
dairy,112
lose,112
being,111
full,111
blood,111
hours,111
information,109
