Video_Title,Comment_Text,Comment_Date,Like_Count,Language_Label,Username_Anon,Nature_Aligned_Manual,Nature_Aligned_Auto
Never Do THIS While Eating Your Food,please dont try this at weddings u will regret this decision forever,2023-10-17 17:41:19+00:00,38287,English,,-1,-1
5 Grocery Shopping Mistakes Harming the Planet,6th mistake don t visit grocery stores instead support street vendors and small retail stores they don t preserve goods,2023-08-12 14:29:51+00:00,35550,English,,-1,-1
4 Mistakes You Make While Drinking Water,at this point i realized that am i even breathing right,2022-09-13 06:34:34+00:00,24232,English,,-1,-1
5 Healthy Alternatives to White Sugar,imagine raisins and figs in your chai,2022-10-23 17:23:02+00:00,20751,English,,-1,-1
This Is What Chips Are Really Made Of,the amount of care inside me,2024-12-26 01:27:06+00:00,17836,English,,-1,-1
4 Toxic Fragrances That Destroy Your Health,practically not possible in today s life style coconut oil on face is a big no for acne oily face especially in summers wat about natural sunscreens please do a video on that too,2022-11-03 08:05:42+00:00,17196,English,,-1,-1
Truths That Food Companies Wish You NEVER Find Out,no industry profits by feeding you real food is golden sentence,2024-08-15 18:38:59+00:00,16511,English,,-1,-1
4 Toxic Fragrances That Destroy Your Health,my face doesn t need oil it already has enough,2023-05-01 19:39:02+00:00,15476,English,,-1,-1
Shocking Truth About Tomato Ketchup! 😨,you guys should arrange this workshop for the parents of the kids because most kids have to obey to their parents and hence become powerless,2025-08-10 13:20:04+00:00,15080,English,,-1,-1
Not everyone is happy at your wedding,nobody understands the pain until they get there place,2023-03-18 13:50:00+00:00,14758,English,,-1,-1
Never Do THIS While Eating Your Food,sleeping with half filled stomach will keep me awake until i m hungry again,2023-11-04 02:20:06+00:00,14222,English,,-1,-1
5-Minute Homemade Cheese | Dairy Free,i drink non alcoholic alcohol water,2023-12-11 14:12:02+00:00,11878,English,,-1,-1
Satvic Coffee Made without Coffee Powder,then why is it called coffee it should be chikfee,2023-12-23 13:44:01+00:00,11589,English,,-1,-1
Ladies! Make This One Switch To Save the Planet,we went from cloth to pads because ppl said that infections might happen because of dirty cloth now again u r asking us to go back i am confused now,2023-09-05 13:53:21+00:00,11547,English,,-1,-1
आँखों का नंबर घटाने के लिए 5 तरीके | How to Get Rid of Spectacles Naturally,who miss their good eyes,2021-09-01 08:57:41+00:00,11438,English,,-1,-1
आँखों का नंबर घटाने के लिए 5 तरीके | How to Get Rid of Spectacles Naturally,kis kis ko 18 saal sa pahle chasma lag gya,2023-06-21 14:34:32+00:00,11278,English,,-1,-1
शरीर में जमी गन्दगी कैसे निकाले - Detox Your Body in 3 Steps | Subah Saraf,अरे बेटी आपका केसे सुक्रियाअदा करें आप ने तो बोहत बरा काम कर दिया।कुर्पा मेरी ऊमर बी आप को लग जाए।टिप्स से फ़्री शिक्षा दे कर वडा उपकर किया हे।धन्वाद बेटी,2019-07-18 09:06:48+00:00,11082,Hindi,,-1,-1
Improve Your Eyesight with these Eye Exercises,faster way to get rid of glasses throw your mobile while watching this and never take back,2022-11-10 09:43:43+00:00,10801,English,,-1,-1
शरीर में जमी गन्दगी कैसे निकाले - Detox Your Body in 3 Steps | Subah Saraf,ये है मेरी हिंदुस्तान की बहन ना की सब टिक टोक यूजर।,2019-11-28 03:42:44+00:00,10747,Hindi,,-1,-1
5 Healthy Alternatives to White Sugar,aaj ke zamane mein healthy hone ke liye ameer hona zaroori hai,2022-10-23 14:08:19+00:00,10480,English,,-1,-1
Healthy Foods You Can Eat Under ₹75 Will Shock You!,it s not about money but cravings,2025-11-28 14:24:16+00:00,10434,English,,-1,-1
3 Secrets Chip Companies NEVER Want You to Know,they also use palm oil which causes blockage in our arteries leading to heart attack,2023-11-01 05:09:59+00:00,10091,English,,-1,-1
The Most Honest Version Of Your Momos Order!,no food industry was harmed here,2025-12-30 13:08:33+00:00,10083,English,,-1,-1
"We Went Inside the Milk Industry of India, With Hidden Cameras 😳",the worst part is even after exposing all of this system will do nothing heartbreaking,2025-10-04 13:33:55+00:00,9596,English,,-1,-1
This Is What Chips Are Really Made Of,knowing all these we still keep eating them as our favorites,2024-12-26 09:56:04+00:00,9406,English,,-1,-1
You'll Never Guess What's in Your Ketchup!,she just respectfully exposed them,2024-08-18 11:09:55+00:00,9267,English,,-1,-1
Homemade Cake vs. Packaged Cake— 10-Day Shocking Test!,this line guyz if fungus doesn t want it then neither should you a real eye opener,2025-08-19 13:17:15+00:00,8529,English,,-1,-1
Ladies! Make This One Switch To Save the Planet,as a doctor i would never recommend anyone to used cloth pads no gynaec will if left for long hours due to some reason it may cause toxic shock syndrome which have lead to many women s death google about it if your budget allows use eco friendly pad otherwise using a normal sanitary pad for 3 5 days wont do any harm but dangerous bacterial infections using cloth pads will there s a reason why ngo s distribute sanitary pads in villages to poor girls who use cloth pads and stuff female uti are dangerous so please do your research before getting influenced by the internet easily,2023-09-05 15:49:48+00:00,8468,English,,-1,-1
5 Grocery Shopping Mistakes Harming the Planet,if you go to the neighborhood kirana stores and sabji mandis for shopping groceries and fresh produce you will not have a single of these problems,2023-08-12 13:33:14+00:00,8393,English,,-1,-1
5 Healthy Alternatives to White Sugar,honey died after seeing liquid jaggery,2022-11-02 05:05:08+00:00,7931,English,,-1,-1
इस Diet Plan से किसी भी  बीमारी का इलाज संभव | Subah Saraf | Satvic Movement,आज ऐसी जानकारियों के लिए डाइटीशियन हजारों रुपये फीस लेती हैं और आप ये सब हमें मुफ्त में बता रही हैं वो भी हमारे वैदिक ज्ञान को मिलाकर। गर्व है आप पर।,2020-07-20 08:56:03+00:00,7921,Hindi,,-1,-1
